"amazon_sandals_woman_images_id","href","src","alt","marca","precio","direccion"
"1","https://amzn.to/3MaLNOt","https://m.media-amazon.com/images/I/61vr30uGwPL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"2","https://amzn.to/3yrcLxP","https://m.media-amazon.com/images/I/61BjiFfwzpL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"3","https://amzn.to/3MaLNOt","https://m.media-amazon.com/images/I/71WJfjgHpuL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"4","https://amzn.to/3yrcLxP","https://m.media-amazon.com/images/I/61XhVCcRhSL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"5","https://amzn.to/3MaLNOt","https://m.media-amazon.com/images/I/71MewAVUTaL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"6","https://amzn.to/3yrcLxP","https://m.media-amazon.com/images/I/61PnxSn3nOL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"7","https://amzn.to/3MaLNOt","https://m.media-amazon.com/images/I/71HMiGo+RZL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"8","https://amzn.to/3yrcLxP","https://m.media-amazon.com/images/I/61Rv-AzZAkL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"9","https://amzn.to/3yrcLxP","https://m.media-amazon.com/images/I/61Y+IcHltGL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"10","https://amzn.to/3MaLNOt","https://m.media-amazon.com/images/I/519tbCD6BeL._AC_SY741_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
"11","https://amzn.to/3yrcLxP","https://m.media-amazon.com/images/I/61MzjrmAgXL._AC_SX569_.jpg","Jeans Hombre marca CEDY DENIM","CEDY DENIM","42.90","derecha"
