id,slug,name,short_description,location,region,year,src,alt,url
1,chenonceau,Castillo de Chenonceau,Puente del río Cher y jardines,Chenonceaux,Indre-et-Loire,1513,https://upload.wikimedia.org/wikipedia/commons/3/30/Chenonceau-20050320.jpg,Castillo de Chenonceau,/val-de-loire/castillo.php?slug=chenonceau
2,chambord,Castillo de Chambord,Obra maestra renacentista,Chambord,Loir-et-Cher,1547,https://upload.wikimedia.org/wikipedia/commons/7/7f/Chateau_de_Chambord_%2826296412132%29.jpg,Castillo de Chambord,/val-de-loire/castillo.php?slug=chambord
3,amboise,Castillo de Amboise,Fortaleza real con vistas al Loira,Amboise,Indre-et-Loire,1430,https://upload.wikimedia.org/wikipedia/commons/b/bc/Ambuaz_IMG_1760.JPG,Castillo de Amboise,/val-de-loire/castillo.php?slug=amboise
4,azay-le-rideau,Castillo de Azay-le-Rideau,Isla rodeada por agua,Azay-le-Rideau,Indre-et-Loire,1518,https://www.franciaturismo.net/es/wp-content/uploads/sites/17/azay-le-rideau-castillo-hd.jpg,Castillo de Azay-le-Rideau,/val-de-loire/castillo.php?slug=azay-le-rideau
5,cheverny,Castillo de Cheverny,Fama por sus interiores conservados,Cheverny,Loir-et-Cher,1624,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSCFF9Zx732Ke4MtWZtmA3CO8p_MC12mK5n1A&s,Castillo de Cheverny,/val-de-loire/castillo.php?slug=cheverny
6,clos-luc%C3%A9,Castillo de Clos Lucé,Última residencia de Leonardo da Vinci,Amboise,Indre-et-Loire,1471,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Clos_luce_04.jpg/1200px-Clos_luce_04.jpg,Castillo de Clos Lucé,/val-de-loire/castillo.php?slug=clos-luce
7,chaumont,Castillo de Chaumont-sur-Loire,Famoso festival de jardines,Chaumont-sur-Loire,Loir-et-Cher,1465,https://upload.wikimedia.org/wikipedia/commons/f/f7/Chaumont_sur_Loire_chateau_05.jpg,Castillo de Chaumont-sur-Loire,/val-de-loire/castillo.php?slug=chaumont
8,valencay,Castillo de Valencay,Residencia señorial con jardines,Valençay,Indre,16th,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcREj2CAY_re9ZL-3Toxs2Mor-tLC6m5O9uZjA&s,Castillo de Valencay,/val-de-loire/castillo.php?slug=valencay
9,ussé,Castillo de Ussé,El castillo que inspiró a Perrault,Rigny-Ussé,Indre-et-Loire,15th,https://upload.wikimedia.org/wikipedia/commons/0/0a/UsseSchloss.jpg,Castillo de Ussé,/val-de-loire/castillo.php?slug=usse
10,tours,tours,Ciudad de Tours (entrada),Tours,Indre-et-Loire,0,https://blogger.googleusercontent.com/img/b/R29vZ2xl/AVvXsEgjVDHDZBFK9mh-ojLm9P9QlGhkNMi24z6g2oSN1AcnB7ylycThI_yxm237QotO8klQqVEU7gfvmmvwkFDIdh43yPqNUxtHlu718LCCNlzKPK2ixmy4boi8d-9vUYlNVfAV1SgL40p_7YE/s16000/Tours-ViajesyRutas.jpg,Tours,/val-de-loire/castillo.php?slug=tours
; https://www.viajesyrutas.es/2017/07/tours-corazon-del-valle-del-loira-francia.html
