slug,nombre,url,descripcion
val-de-loire,"Château de Chambord","chateau-de-chambord.php","El castillo más grande y emblemático del Valle del Loira, con su arquitectura renacentista única."
val-de-loire,"Château de Chenonceau","chateau-de-chenonceau.php","Famoso por su elegante diseño sobre el río Cher y sus jardines impresionantes."
val-de-loire,"Château de Villandry","chateau-de-villandry.php","Renombrado por sus magníficos jardines renacentistas y su arquitectura armoniosa."
val-de-loire,"Château Royal d'Amboise","Chateau-royal-de-amboise.php","Residencia real con vistas al río Loira y lugar de descanso de Leonardo da Vinci."
val-de-loire,"Château Royal de Blois","chateau-royal-de-blois.php","Château histórico que combina varios estilos arquitectónicos y alberga un museo de bellas artes."
val-de-loire,"Château de Azay-le-Rideau","chateau-de-azay-le-rideau.php","Encantador castillo renacentista situado en una isla sobre el río Indre."
val-de-loire,"Château de Cheverny","chateau-de-cheverny.php","Famoso por su colección de arte y su inspiración para el châteauChâteau de Moulinsart en las aventuras de Tintín."
val-de-loire,"Château de Langeais","chateau-de-langeais.php","Château medieval restaurado que ofrece una visión fascinante de la vida en la Edad Media."
val-de-loire,"Château de Saumur","chateau-de-saumur.php","Imponente castillo que domina la ciudad de Saumur y alberga el Museo de la Caballería."
ciudad-angers,"Château d'Angers","chateau-de-angers.php","Fortaleza medieval que alberga el famoso Tapiz del Apocalipsis."
ciudad-angers,"Château de Brissac","brissac.php","El castillo más alto de Francia, conocido por su arquitectura renacentista y sus jardines."
ciudad-angers,"Château de Montsoreau","montsoreau.php","Château a orillas del Loira, famoso por su arquitectura y su museo de arte contemporáneo."
ciudad-angers,"Château de Serrant","serrant.php","Château refinado famoso por su mobiliario y estancias históricas, cerca de Angers."
ciudad-angers,"Château de Plessis-Bourré","plessis-bourre.php","Château renacentista bien conservado con hermosos jardines y un foso."
ciudad-nantes,"Château de la Loire","chateau-de-la-loire.php","Explora varios castillos a lo largo del río Loira, cada uno con su propia historia y encanto."
ciudad-nantes,"Château des Ducs de Bretagne","ducks-de-bretagne.php","El gran castillo urbano de Nantes, sede del Museo de Historia."
ciudad-nantes,"Château de Goulaine","chateau-de-goulaine.php","Château–viñedo histórico entre marismas, uno de los más antiguos abiertos al público."
ciudad-nantes,"Château de Clisson","chateau-de-clisson.php","Fortaleza medieval con estética italiana en pleno Valle del Sèvre."
ciudad-nantes,"Château d’Oudon","oudon.php","Impresionante torre medieval con vistas panorámicas sobre el Loira."
ciudad-nantes,"Château de Châteaubriant","Châteaubriant.php","Château que combina fortaleza medieval y palacio renacentista."
