slug,nombre,url,descripcion
val-de-loire,"Château de Chambord","chateau-de-chambord/index.php","El castillo más grande y emblemático del Valle del Loira, con su arquitectura renacentista única."
val-de-loire,"Château de Chenonceau","chateau-de-chenonceau/index.php","Famoso por su elegante diseño sobre el río Cher y sus jardines impresionantes."
val-de-loire,"Château de Villandry","chateau-de-villandry/index.php","Renombrado por sus magníficos jardines renacentistas y su arquitectura armoniosa."
val-de-loire,"Château Royal d'Amboise","Chateau-royal-de-amboise/index.php","Residencia real con vistas al río Loira y lugar de descanso de Leonardo da Vinci."
val-de-loire,"Château Royal de Blois","chateau-royal-de-blois/index.php","Château histórico que combina varios estilos arquitectónicos y alberga un museo de bellas artes."
val-de-loire,"Château de Azay-le-Rideau","chateau-de-azay-le-rideau/index.php","Encantador castillo renacentista situado en una isla sobre el río Indre."
val-de-loire,"Château de Cheverny","chateau-de-cheverny/index.php","Famoso por su colección de arte y su inspiración para el châteauChâteau de Moulinsart en las aventuras de Tintín."
val-de-loire,"Château de Langeais","chateau-de-langeais/index.php","Château medieval restaurado que ofrece una visión fascinante de la vida en la Edad Media."
val-de-loire,"Château de Saumur","chateau-de-saumur/index.php","Imponente castillo que domina la ciudad de Saumur y alberga el Museo de la Caballería."
localidad-angers,"Château d'Angers","chateau-de-angers/index.php","Fortaleza medieval que alberga el famoso Tapiz del Apocalipsis."
localidad-angers,"Château de Brissac","brissac/index.php","El castillo más alto de Francia, conocido por su arquitectura renacentista y sus jardines."
localidadangers,"Château de Montsoreau","montsoreau/index.php","Château a orillas del Loira, famoso por su arquitectura y su museo de arte contemporáneo."
localidad-angers,"Château de Serrant","serrant/index.php","Château refinado famoso por su mobiliario y estancias históricas, cerca de Angers."
localidadangers,"Château de Plessis-Bourré","plessis-bourre/index.php","Château renacentista bien conservado con hermosos jardines y un foso."
localidad-nantes,"Château de la Loire","chateau-de-la-loire/index.php","Explora varios castillos a lo largo del río Loira, cada uno con su propia historia y encanto."
localidad-nantes,"Château des Ducs de Bretagne","ducks-de-bretagne/index.php","El gran castillo urbano de Nantes, sede del Museo de Historia."
localidad-nantes,"Château de Goulaine","chateau-de-goulaine/index.php","Château–viñedo histórico entre marismas, uno de los más antiguos abiertos al público."
localidad-nantes,"Château de Clisson","chateau-de-clisson/index.php","Fortaleza medieval con estética italiana en pleno Valle del Sèvre."
localidad-nantes,"Château d’Oudon","oudon/index.php","Impresionante torre medieval con vistas panorámicas sobre el Loira."
localidad-nantes,"Château de Châteaubriant","Châteaubriant/index.php","Château que combina fortaleza medieval y palacio renacentista."
localidad-nantes,"Château de Serrant","serrant/index.php","Château refinado famoso por su mobiliario y estancias históricas, cerca de Angers."
chateau-d-angers,"Château de Saumur","chateau-de-saumur/index.php","Imponente castillo sobre el Loira con museos y vistas panorámicas."
chateau-d-angers,"Château de Brissac","chateau-de-brissac/index.php","El castillo más alto de Francia, rodeado de viñedos y elegancia."
chateau-d-angers,"Château de Montsoreau","chateau-de-montsoreau/index.php","Castillo renacentista a orillas del Loira, hoy museo de arte contemporáneo."
chateau-d-angers,"Château de Chinon","chateau-de-chinon/index.php","Fortaleza medieval con historia real y vistas sobre el río Vienne."
chateau-d-angers,"Château de Serrant","chateau-de-serrant/index.php","Elegante castillo con interiores amueblados y una gran biblioteca histórica."
chateau-de-chambord,"Château Royal de Blois","chateau-royal-de-blois/index.php","Palacio renacentista con historia real."
chateau-de-chambord,"Château de Cheverny","chateau-de-cheverny/index.php","Famoso por su elegante decoración interior."
chateau-de-chambord,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire/index.php","Conocido por sus jardines y festivales."
chateau-de-chambord,"Château de Villandry","chateau-de-villandry/index.php","Jardines renacentistas espectaculares."
chateau-de-chambord,"Château de Chenonceau","chateau-de-chenonceau/index.php","El castillo sobre el río Cher, muy pintoresco."
chateau-de-saumur,"Château Royal de Blois","chateau-royal-de-blois/index.php","Palacio renacentista con historia real."
chateau-de-saumur,"Château de Cheverny","chateau-de-cheverny/index.php","Famoso por su elegante decoración interior."
chateau-de-saumur,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire/index.php","Conocido por sus jardines y festivales."
chateau-de-saumur,"Château de Villandry","chateau-de-villandry/index.php","Jardines renacentistas espectaculares."
chateau-de-saumur,"Château d’Azay-le-Rideau","chateau-d-azay-le-rideau/index.php","Castillo renacentista reflejado en el río Indre."
castillo-de-chenonceau,"Château Royal d'Amboise","Chateau-royal-de-amboise/index.php","Residencia real con vistas al Loira."
castillo-de-chenonceau,"Château del Clos-Lucé","chateau-de-chateau-de-clos-luce/index.php","Último hogar de Leonardo da Vinci."
castillo-de-chenonceau,"Château de Chaumont-sur-Loire","chateau-de-chaumont-sur-loire/index.php","Famoso por su Festival Internacional de Jardines."
castillo-de-chenonceau,"Château de Montpoupon","montpoupon/index.php","Château menos conocido rodeado de bosque."
castillo-de-chenonceau,"Château de Loches","loches/index.php","Fortaleza medieval con historia real."
castillo-de-chenonceau,"Château de Valmer","valmer/index.php","Renombrado por sus jardines y viñedos."
chateau-de-chaumont-sur-loire,"Château Royal de Blois","chateau-royal-de-blois/index.php","Residencia real con cuatro estilos arquitectónicos."
chateau-de-chaumont-sur-loire,"Château Royal d'Amboise","Chateau-royal-de-amboise/index.php","Château real con vistas al Loira."
chateau-de-chaumont-sur-loire,"Château de Clos-Lucé","chateau-de-chateau-de-clos-luce/index.php","Última residencia de Leonardo da Vinci."
chateau-de-chaumont-sur-loire,"Château de Chenonceau","chateau-de-chenonceau/index.php","Icono del Loira construido sobre el río Cher."
chateau-de-chaumont-sur-loire,"Château de Chambord","chateau-de-chambord/index.php","El castillo más grande y emblemático del Loira."
chateau-de-chaumont-sur-loire,"Château de Cheverny","chateau-de-cheverny/index.php","Conocido por su fastuosa decoración interior."
chateau-de-chaumont-sur-loire,"Château de Chaumont-sur-Loire – Jardines","chateau-de-chaumont-sur-loire/index.php","Famoso por el Festival Internacional de Jardines."
chateau-de-cheverny,"Château de Chambord","chateau-de-chambord/index.php","A solo 20 minutos; el castillo más grande y emblemático del Valle del Loira."
