slug,pregunta,respuesta
amboise,"¿Cuál es el horario del Castillo de Amboise?","Abre todos los días del año. El horario varía según la temporada, generalmente de 9:00 a 18:00."
"amboise","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 13 € para adultos. Hay tarifas reducidas para jóvenes y entrada gratuita para menores de cierta edad."
"amboise","¿Qué incluye la visita?","Incluye el castillo, la capilla de Saint-Hubert y los jardines."
"amboise","¿Cuánto dura la visita?","La visita suele durar entre 1 y 2 horas."
"amboise","¿Es accesible para personas con movilidad reducida?","El castillo tiene algunas zonas con escaleras, pero los jardines y ciertas áreas son accesibles."
"amboise","¿Hay aparcamiento cerca del castillo?","Sí, hay un parking público a pocos minutos a pie del castillo."
"amboise","¿Se permiten mascotas?","No se permiten mascotas, excepto perros guía."
"azay-le-rideau","¿Cuál es el horario del Castillo de Azay-le-Rideau?","Abre todos los días del año. El horario varía según la temporada, generalmente de 9:30 a 18:00."
"azay-le-rideau","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 11 € para adultos. Hay tarifas reducidas para jóvenes y entrada gratuita para menores de cierta edad."
"azay-le-rideau","¿Qué incluye la visita?","Incluye el castillo y los jardines renacentistas."
"azay-le-rideau","¿Cuánto dura la visita?","La visita suele durar entre 1 y 1.5 horas."
"azay-le-rideau","¿Es accesible para personas con movilidad reducida?","El castillo tiene algunas zonas con escaleras, pero los jardines y ciertas áreas son accesibles."
"azay-le-rideau","¿Hay aparcamiento cerca del castillo?","Sí, hay un parking público a pocos minutos a pie del castillo."
"azay-le-rideau","¿Se permiten mascotas?","No se permiten mascotas, excepto perros guía."
"beaugency","¿Cuál es el horario del Castillo de Beaugency?","Abre de febrero a diciembre, con horarios variables según temporada."
"beaugency","¿Cuánto cuesta la entrada?","La entrada cuesta aproximadamente 9 € para adultos."
"beaugency","¿Qué incluye la visita?","Incluye el castillo, el museo digital y experiencias inmersivas de arte contemporáneo."
"beaugency","¿Cuánto dura la visita?","Entre 1 y 1.5 horas."
"beaugency","¿Es accesible para personas con movilidad reducida?","Varias áreas son accesibles, aunque el edificio conserva escaleras históricas."
"beaugency","¿Hay aparcamiento cerca del castillo?","Sí, hay aparcamiento cerca del centro."
"beaugency","¿Se permiten mascotas?","No se permiten mascotas dentro, excepto perros guía."
"beauregard","¿Cuál es el horario del Castillo de Beauregard?","Abre de marzo a noviembre, de 10:00 a 18:00 aproximadamente."
"beauregard","¿Cuánto cuesta la entrada?","La entrada cuesta alrededor de 12 € para adultos."
