slug,iconos_json
amboise,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo Real""},{""icono"":""fa-paint-brush"",""texto"":""Leonardo da Vinci""},{""icono"":""fa-water"",""texto"":""Río Loira""},{""icono"":""fa-map-marker-alt"",""texto"":""Indre-et-Loire""}]"
blois,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo de Blois""},{""icono"":""fa-landmark"",""texto"":""Historia Real de Francia""},{""icono"":""fa-water"",""texto"":""Río Loira""},{""icono"":""fa-map-marker-alt"",""texto"":""Loir-et-Cher""}]"
chinon,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo Medieval""},{""icono"":""fa-wine-glass"",""texto"":""Vinos locales""},{""icono"":""fa-water"",""texto"":""Río Vienne""},{""icono"":""fa-map-marker-alt"",""texto"":""Indre-et-Loire""}]"
tours,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo""},{""icono"":""fa-university"",""texto"":""Universidad""},{""icono"":""fa-water"",""texto"":""Río Loira""},{""icono"":""fa-map-marker-alt"",""texto"":""Indre-et-Loire""}]"
angers,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo de Angers""},{""icono"":""fa-apple-alt"",""texto"":""Cidra y gastronomía""},{""icono"":""fa-water"",""texto"":""Río Maine""},{""icono"":""fa-map-marker-alt"",""texto"":""Maine-et-Loire""}]"
nantes,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo de los Duques de Bretaña""},{""icono"":""fa-anchor"",""texto"":""Puerto histórico""},{""icono"":""fa-water"",""texto"":""Río Loira""},{""icono"":""fa-map-marker-alt"",""texto"":""Loire-Atlantique""}]"
saumur,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo de Saumur""},{""icono"":""fa-wine-glass"",""texto"":""Vinos y cava""},{""icono"":""fa-horse"",""texto"":""Escuela ecuestre""},{""icono"":""fa-map-marker-alt"",""texto"":""Maine-et-Loire""}]"
orleans,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo Real""},{""icono"":""fa-flag"",""texto"":""Juana de Arco""},{""icono"":""fa-water"",""texto"":""Río Loira""},{""icono"":""fa-map-marker-alt"",""texto"":""Loiret""}]"
chateau-de-chambord,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo Renacentista""},{""icono"":""fa-crown"",""texto"":""Francisco I""},{""icono"":""fa-stairs"",""texto"":""Escalera de doble hélice""},{""icono"":""fa-tree"",""texto"":""Parque natural""}]"
chateau-de-clos-luce,"[{""icono"":""fa-paint-brush"",""texto"":""Leonardo da Vinci""},{""icono"":""fa-home"",""texto"":""Última residencia""},{""icono"":""fa-cogs"",""texto"":""Inventos y talleres""},{""icono"":""fa-map-marker-alt"",""texto"":""Amboise""}]"
chateau-de-chenonceau,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo sobre el río""},{""icono"":""fa-water"",""texto"":""Río Cher""},{""icono"":""fa-female"",""texto"":""Castillo de las Damas""},{""icono"":""fa-leaf"",""texto"":""Jardines históricos""}]"
chateau-de-chaumont-sur-loire,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo histórico""},{""icono"":""fa-seedling"",""texto"":""Festival de Jardines""},{""icono"":""fa-palette"",""texto"":""Arte contemporáneo""},{""icono"":""fa-water"",""texto"":""Río Loira""}]"
chateau-de-villandry,"[{""icono"":""fa-leaf"",""texto"":""Jardines renacentistas""},{""icono"":""fa-th-large"",""texto"":""Diseño geométrico""},{""icono"":""fa-chess-rook"",""texto"":""Castillo clásico""},{""icono"":""fa-camera"",""texto"":""Vistas panorámicas""}]"
chateau-de-montpoupon,"[{""icono"":""fa-chess-rook"",""texto"":""Castillo habitado""},{""icono"":""fa-paw"",""texto"":""Caza y naturaleza""},{""icono"":""fa-tree"",""texto"":""Bosques""},{""icono"":""fa-map-marker-alt"",""texto"":""Touraine""}]"
